,nombre,categoría,descripción,sección,url
0,ALF1,Alfombra,Alfombra persa marrón (tiene unas manchas que no se quitan).,Arabe  ,admin/img_prod/ALF1/ALF1-720x540.png
1,ADO1,Adornos,Vitrina con abanico,,admin/img_prod/ADO1/ADO1-720x540.png
2,AFC1,Alfombra de cama,Alfombrín de cama círculos azules,Dormitorio  ,admin/img_prod/AFC1/AFC1-720x540.png
3,AP1,Aparador,Aparador alemán 2 cuerpos,Alemán  Comedor  ,admin/img_prod/AP1/AP1-720x540.png
4,AST1,Atrezzo astronomia,Pie de madera para astrolabio,Astronomía  ,admin/img_prod/AST1/AST1-pie-720x540.png
5,TOR1,Tortura,Silla eléctrica figurada,Carcel  ,admin/img_prod/TOR1/TOR1-1-720x540.png
6,ARC1,Arcon,Arcón talla figuras vascas con tablero,Dormitorio  ,admin/img_prod/ARC1/ARC1-1-720x540.png
7,AR1,Armario,Armario raíz y caoba 2 puertas espejo y cajones,Dormitorio  ,admin/img_prod/AR1/AR1-720x540.png
8,ARM1,Armero,Armero para fusiles con cajones,Militar  ,admin/img_prod/ARM1/ARM1-1-720x540.png
9,ATD1,Ataud,Ataúd de niño pintado crema con cruz,,admin/img_prod/ATD1/ATD1-1-720x540.png
10,ATR1,Atril,Atril facistol columna torneada,Religioso  ,admin/img_prod/ATR1/ATR1-1-720x540.png
11,BL1,Balancin,Balancín de jardín 2 cojines,Columpio  Jardín  ,admin/img_prod/BL1/BL1-1-720x540.png
12,BAC1,Banco,Banco portugués respaldo alto torneado,Portugues  ,admin/img_prod/BAC1/BAC1-1-720x540.png
13,BAN1,Banqueta,Banqueta bambú cuadrada,Bambú  Jardín  ,admin/img_prod/BAN1/BAN1-1-720x540.png
14,M1,Mesa,Mesa jardín de rejilla tapa cristal,Jardín  ,admin/img_prod/M1/M1-1-720x540.png
15,BA1,Baño,Bañera hierro fundido con patas garras doradas,Bañera  ,admin/img_prod/BA1/BA1-1-720x540.png
16,BAR1,Bargueño,Bargueño gótico con tapa hierros con pie,Gótico  ,admin/img_prod/BAR1/BAR1-1-720x540.png
17,BRL1,Barril,Barril de madera grande,Bar y cafetería  Rústico  ,admin/img_prod/BRL1/BRL1-1-720x540.png
18,BAS1,Bascula,Báscula de farmacia forrada imitación madera,Farmacia  Hospital  ,admin/img_prod/BAS1/BAS1-1-720x540.png
19,BAU1,Baul,Baúl armario americano verde,Americano  Viaje  ,admin/img_prod/BAU1/BAU1-1-720x540.png
20,BEB1,Bebé,Columpio de bebé para puerta (saltador),Columpio  ,admin/img_prod/BEB1/BEB1-720x540.png
21,PER1,Perchero,Perchero de pared estilo español tallado cabezas,Español  Recibidor  ,admin/img_prod/PER1/PER1-720x540.png
22,ESC1,Escaleras,Escalera de tijera pintada verde,Tienda  ,admin/img_prod/ESC1/ESC1-720x540.png
